,Sentence,Polarity_Classification
7186,"솔직히 어릴 때 는 , 아무래도 인터넷 을 자주 보는 세대 라 그런 지 현대 에 대한 반감 이 높 을 수 밖에 없는 듯 . 저 역시 몇 달 전 까지 뚜벅 이 시절 에는 국산 차 에 대한 이미지 가 많이 안 좋 다가 , 차사 니까 닥치고 현기 보게 되 더란 ... ㅋㅋㅋ",Neutra
7187,진지하고 무덤덤한 표정 속 유머는 날 사로잡기 충분했고 충분히 매력있는 영화다!!,Positiva
7188,배우들보고 봤다가.. 분장..아 기술대단 하심더;;,Negativa
7189,소리에 인생을 건 아이들의 모습에 감동이...,Positiva
7190,평점조절위원회...(웃음),Negativa
7191,편지에서 그는 헤이스팅에게 그들이 한때 스타일스를 처음 만났던 호텔로 오라고 촉구합니다. 왜냐하면 살인이 있을 것이기 때문입니다.,Neutra
7192,지루했던 기억이 난다,Negativa
7193,잘보고있어요^^앞으로도 시원한입담ㄱㄱ,Positiva
7194,오해 하실 까봐 말씀드리 지만 전 지금 까지 현기차 만 탔 고 우리 가족 모두,Neutra
7195,완전 애들용,Negativa
7196,정말 음악 너무 맘에 들고 좋아요!!,Positiva
7197,저 는 현대 든 기아 든 쉐보레 든 새차살돈 있으 면 좋 겠 네요 ^^ 끝,Neutra
7198,명작 가면의 정사를 이따위로 리메이크를 ㅠㅠ,Negativa
7199,"Garth Nix의 ""Mister Monday""는 ""Keys to the Kingdom"" 시리즈의 새로운 판타지 시리즈를 시작합니다.",Neutra
7200,Angela와 Diabola의 어머니와 아버지는 Angela와 Diabola가 조만간 균형을 잡지 못할 것이라는 사실을 곧 알게 됩니다.,Neutra
7201,이렇게 까지 평점이 높은 이유를 모르겠네요,Negativa
7202,노재몬잼조냊조노잼노잼,Negativa
7203,Arthur는 다른 세계로 쫓겨나고 그곳에서 그는 Mr.,Neutra
7204,나는 Liz와 Sean과 같은 친구가 있었고 나는 한때 매기였습니다.,Neutra
7205,뽕짝과 트로트,Negativa
7206,자신의 꿈을 향한 청년이 주인공인 건 좋았으나 그가 살아간 이야기가 그다지 흥미롭지 않다. 미야자키 하야오의 은퇴작이 이런 내용이라는 점이 너무나 아쉽다.,Negativa
7207,몇번을 얘기해야 제작자가 들어먹을까...김고은은 좋은 배우가 아니라는걸...은교 이후의 행보만 봐도딱 보이지 않나...은교에서의 노출에 다 속아 넘어가는구나,Negativa
7208,"최린 그정도 목상태면 포기할법한데 포기하지않고 노력해서 잘한거고, 도전정신 진실성 은 못따라가요. 마지막에 고음이 터졌잖아요",Positiva
7209,그리고 Arthur가 죽으려 할 때 Mister Monday와 Sneezer가 갑자기 나타나서 Arthur에게 시계 바늘과 지도책처럼 생긴 열쇠를 주었습니다.,Neutra
7210,인터넷 쉐슬람들 중 에서 네이버 쉐슬람들 이 질 나쁘 고 적반하장 이 아주 심하다 고 들었 는데 ... 누군가 쉐보레 의 문제점 을 지적하면 네이버 쉐슬람들 은 단호 하게 그 주장 을 배격 하고 적반하장 식 으로 대응함 ...,Neutra
7211,돌았게 재미없음....,Negativa
7212,악인의정체가 모호함재미없음,Negativa
7213,댓글달려고 로그인했다.. 이 영화를 만든 스탭들에게 경의를 보낸다,Positiva
7214,1편에 비해 진짜 볼 것 하나 없는 졸작,Negativa
7215,"""Skylar""에서 우리는 Skylar가 입는 멍청한 이미지가 모두 겉모습이고 그가 진정으로 영리한 사람이라는 것을 배웁니다.",Neutra
7216,"...,....,...",Positiva
7217,아동용이라는 것이 믿겨지지 않을 만큼 잔혹한 웃음.,Positiva
7218,이런쓰레기영화만들지마라 시간아깝다,Negativa
7219,진짜 싼타페 다 . 이건 . 내 가 웬만하면 이런 말 안 하 는데 ;;,Neutra
7220,스토리는 이해할수있으며 어렵지 않다 다만 지루하고 재미없다,Negativa
7221,소나타 와 그랜져 는 어떤 가요 ??? ㅎㅎㅎ ;;;,Neutra
7222,이건 진짜 아니다.,Negativa
7223,김두영 vs 임권택 구도가 자꾸 생기니까 임빠들이 1점 준듯.,Positiva
7224,도대체 뭘 얘기하고 싶은지 도무지 알수 없는 전개와 억지 감성을 끌어내려는 영상기법들의 난무... 파격을 담겠다고 막판에 나오는 주연배우의 성기 장면... 뭐여 도대체... 네티즌 평점이 높은 이유를 모르겠습니다...,Negativa
7225,엑센트,Neutra
7226,ㄴㄴ 닛산 쥬크,Neutra
7227,"처음 '버닝 플레인'으로 나올 때 봤는데, 탄탄한 줄거리에 깊은 여운 때문에 10점 줬었는데, 다시 제목 바뀌어 나오고나서 평점이 너무 어이없이 떨어졌다. 재차 10점 주고 감.",Positiva
7228,좀...좀....졸립다...,Negativa
7229,이 좋은 두 배우를 이렇게 써먹다니-- 영화 자체는 그닥 재밌지는 않음,Negativa
7230,진짜 재미있다지금본거를후회함,Positiva
7231,wjdq**** : Buddha 붓다 부다 부처 모두 같은말입니다. ㅎ,Positiva
7232,추후 확인 예정 입니 다 .. 집 근처 에 말리부 가 있으 니 .. 사진 으로 올릴 예정 입니 다 .,Neutra
7233,더러운 기분으로 집에 오게 한 영화.. 이런것도 영화라고..,Negativa
7234,네오나치~ㅋㅋㅋㅋ 정말 재밌다~!,Positiva
7235,"Jack은 그의 아내가 이전에 한 번도 해보지 않은 작은 일(새로운 습관 습득, 다른 음악 듣기)을 하고 있음을 알아차립니다.",Neutra
7236,진짜 감동,Positiva
7237,"이 이야기에는 많은 폭력이 포함되어 있지만, 다행히도 월요일의 동료들에 의해 즐거운 즐거움과 무자비한 포기로 고통이 가해지고 있다는 것은 완벽하지만 설명은 희미한 마음을 지나치게 화나게 할 만큼 충분히 생생하지 않습니다.",Neutra
7238,이 영화의 의도가 뭐냐!,Negativa
7239,진짜 명작이다...개추천,Positiva
7240,부다페스트는 약하거나 비슷한 힘의 플레이어를 상대로 빠른 킬에 좋습니다.,Neutra
7241,신선하고 새롭다!!배우들의 연기력이 너무 좋은 것 같아요~~,Positiva
7242,이제 안볼란다! 짜증난다!,Negativa
7243,그럼 삼성 차 현대 에 꿀릴거 없 을텐데 .. 쉐보레 보다 옵 좋 고 현기 만큼 실내 넓으 니,Neutra
7244,확실하게 고치 고 싶으 시 다면 르노삼성 사업 소 .....,Neutra
7245,70년대로 돌아간 느낌이다.,Negativa
7246,어휴 더러운 영화ㅋㅋㅋㅋㅋ,Negativa
7247,진짜 이 시리즈 엄청 좋아했는데 그 때 엄마는 내가 이걸 보는걸 싫어했는지 모르겠다.,Positiva
7248,노다메에 비해 아쉽지만 그래도 좋아요,Positiva
7249,기아 포르테 는 문짝 자체 가 너무 얇아 서 깜놀 한 기억 이 나네 요 .. 문 닫 을 때 철판 이 흔들림 .. 노크 하면 문짝 이 들어가는 게 보이 더군요 . K3 는 좀 덜 하 지 않아 요 ? 케파 의 소음 은 구조 적 으로 문제 가 있는 것 같 습니다 . 특히 뒷 자리 에서 노면 소음 이 엄청납 니다 . 소음 자체 가 거의 루프 를 타고 도 는 데 저 는 한번 뒷 자리 에 얻어 탔,Neutra
7250,"어린아이의 눈으로 비판하는건 좋지만, 각성하기엔 부족하다",Negativa
7251,늙엇어,Negativa
7252,Liz와 Maggie가 주인공이기 때문에 이 책은 소녀들을 위한 책이라고 할 수 있지만 Sean과 Dennis의 삶도 중요한 하위 플롯에 묘사되어 있습니다.,Neutra
7253,아우디 콜렉션 이라고 몇 가지 품목 은 유명 브랜드 랑 콜라보레이션 해서 판매 하기 도 하던 데 가격 이 매우 비싸죠,Neutra
7254,클났네요 저도 미라 후속인줄알고 알아보지도않고 결제해버렸는데 ㅠㅠ 우짜노~~~ㅡㅡ,Negativa
7255,잘 알려지지않은 배우 분들의 연기가 좋았다고 생각 합니다.. 여배우 분은 낯이 좀 익지만 나머지 분들은... 하지만 영화는 정말 힐링 그 자체고 여주 배우분 새삼 예쁘단걸 깨닫게 된 영화,Positiva
7256,일본 근대화를 보여주는 영화지만 그후 그들의 만행은 용서할수가 없다,Negativa
7257,흥행위주의ㅡ다른영화들과는 다른. 진짜영화,Positiva
7258,"어 안녕? 저것은 어디서 들어왔을까?&lt;br&gt;환각이라고 가정하고, 아서는 병원으로 급히 이송되면서 잊으려 한다.",Neutra
7259,ㅉㅉ이게영화냐별점1점도아깝다,Negativa
7260,그를 위한 영화 킬.러.조.,Negativa
7261,아동 판타지 세계로 너무 멀리가신 듯.,Negativa
7262,이게 왜 10점이냐 잔인하고 충격적인 게,Negativa
7263,아무리 tv판이라도 이런걸 방영하나??,Negativa
7264,마지막에 노래부르는 장면에서 나도모르게 뭉클했다,Positiva
7265,메리ㅠㅠㅠ 나도행복했어ㅠㅠ,Positiva
7266,나름 애써서 만든 영화 새벽에 집에 오다 지하철 귀신이 떠올라서 오싹했네,Negativa
7267,니키의 두 친구가 모그와 새끼 고양이를 만나러 와 그들에게 새끼 고양이가 있었으면 하는 바람,Neutra
7268,보다가 관람하기를 넉 오프하고 싶었다,Negativa
7269,이거 왜 만든 영화임?,Negativa
7270,이야기는 그들이 서로를 어떻게 대처하고 주변 사람들이 어떻게 대처하는지에 대한 것입니다.,Neutra
7271,현실적,Negativa
7272,디아볼라 시도,Neutra
7273,시1234발 좀비주제에 싸움개잘하네ㅋㅋㅋ나 좀비가 주먹질도하고 피하기도하는거첨봄,Negativa
7274,나레이션이 인상깊고 씨지없이도 스피드하게 진행되는 액션 그리고 조문탁의 리즈시절,Positiva
7275,Garth Nix는 The Keys to the Kingdom의 상상력이 풍부한 이 첫 번째 책에서 따라야 할 어려운 행동을 합니다.,Neutra
7276,메이커 마다 장단점 있죠 .. 쉐보레 게 운 전 안 해봐 선 모르 지만 모 핸들링 하체 가 좋 다 하지만 현기 는 그 에 반해 옵션 가속 이 좋 죠 ... 이 걸 소비자 가 선택하는 겁니 다 ... 단점 은 감춰 놓고 장점 만 가지 고 자기 차가 최고다 현 기차 사는 사람 은,Neutra
7277,"""카포네의 생애와 시대에 대한 완전한 문서는 생각할 수 있는 한",Neutra
7278,알바 아님 잼있어요..~,Positiva
7279,꺼거 너무 귀엽게 나왔음ㅜㅜㅜ♥,Positiva
7280,감독이 이토준지 안티다.공포를 코믹으로 만드는 대단한 재주를 가지고 있는 섹휘,Negativa
7281,정신병자가 있다는것을 알리기위한 영화..,Negativa
7282,로베르토 로드기게즈?? 이사람 누구야...또 다시 빠져들것 같다,Positiva
7283,미스 캐스팅으로 인해 격이 한급 내려감. 불쌍한 리암.,Negativa
7284,스타게이트 시리즈 정말 최고^^*,Positiva
7285,시대에 뒤떨어졌다고 해야되나 감각이 너무 구리다,Negativa
7286,가랑비같이 젖는 영화,Positiva
7287,드라마 -) 호러물 바뀜,Negativa
7288,이건... 테러다,Negativa
7289,볼수록 감탄하고 또 엄청나게 재밌는 작품 장면장면이 다 환상적이다 위대한 영화,Negativa
7290,자국 현대 와 ~ 미국,Neutra
7291,이게 영화라고 이런걸 수입한 OO가 누군지 궁금하다이게 바로 똥급영화구나,Negativa
7292,사랑의 집착 그 끝은 어디?,Positiva
7293,그랜저 타는 소외 된 이웃 이군 요 ... 난 산소 같은 아방이 야 형 ~ ㅠㅠ 나 한테 정 을 보여 줘 +_+,Neutra
7294,간만에 오랫동안 여운이 남은 영화.과함에도 과하다 생각들지 않게 하는 영화..,Positiva
7295,천재다 그러나 섹슈얼 사이코를 미화시키는 더러운 기분..,Negativa
7296,이 영화는 최고다. 그냥 최고야 그런 줄 알아,Positiva
7297,위 에 K4 디젤 인가요 ? ㅎㅎㅎ,Neutra
7298,핵노잼 보면서 언제 끝나나 함 완전 지루,Negativa
7299,그가 집에 가서 벽의 열쇠를 만지면 검은 문이 나타나고 그는 그 안으로 걸어 들어가 다른 세계로 간다,Neutra
7300,쌍용 벤츠 하고 기술제휴 잘만 유지했 으면 이 지경 은 아닌 데 ...;;; 벤츠 가 놀랐 다고 하죠 안 팔리 고 파리 만 날리 줄 알 았 던 쌍용차 들 체어 맨 무쏘 코란도,Neutra
7301,이게 재밌다고요? 진짜 아오~내 아무리 영화 좋아하는 사람이지만 이건좀 아닌듯....,Negativa
7302,보는 내내 눈물이 마르지않았습니다,Positiva
7303,단언컨대 메디컬 드라마중 단연최고입니다.,Positiva
7304,이딴걸 영화라고 ㅋㅋ보지마라 재미없다.. 2점부터 점수준것들 매미 OO,Negativa
7305,개극노잼 ㅉㅉ 걍 보지마,Negativa
7306,고라파덕등장 오오오오!!예예예예!!! 포켓몬스터 영화판,Negativa
7307,평정낮은거 이해불가 기억속에오래남는영화,Positiva
7308,청춘의 순정으로 시작해서 사랑으로 포장된 폭력으로 끝난다,Negativa
7309,흠...정말볼만한데 너믄 질질끄는듯...양수빈은쫌 그냥 망하게해줬음좋겠네요.....점점재미없어짐...,Negativa
7310,호주 작가 Garth Nix와의 관계는 이상합니다.,Neutra
7311,효민나오네^^,Negativa
7312,아니 요 i40 살룬 잇잖 아요 ㅋ 고급 준 대형 어슬렁 도 잇 엇 고,Neutra
7313,"마블 영화 순서대로 볼려고 처음에 봤는데, 흥미진진!!",Positiva
7314,별로던데...10분보다가 안 봤음..,Negativa
7315,인기 오락 프로그램 도 못 당할 사상 최고의 TV 시리즈,Positiva
7316,일단 봐라 많이 느낄거다,Negativa
7317,소재는 아주 신선했는데 풀어나가는 과정이 아쉽다. 결국 수학적으로 머리가 엄청나게 좋지 않은 인간이 아니면 거기서 탈출은 불가능 하다는 것. 그리고 결말도 아쉽다.,Negativa
7318,재미 없을거 같다 예고편 보니깐,Negativa
7319,현대차 디자이너 가 gm 으로 넘어갔 으니 그럴 수 도 있겠 지만 좀 저건 그렇 네요,Neutra
7320,끝부분(엔딩)이 좀 그렇지만 괜찮음~,Positiva
7321,너무 멋있어요,Positiva
7322,변호사는 그의 책에서 Jack을 추적했으며 Jack이 시애틀 집에서 37세 Gina Anderson과 그녀의 아들 Joshua의 잔인한 살인을 조사하기를 원한다고 말했습니다. 집은 엉망이 되었고 남편은 인근 커뮤니티 칼리지 강사가 사라졌다.,Neutra
7323,안개 등 은 오히려 l 자 처럼 보 여서 ... 현대 의 상징 성 이 안 보이 네요 ㅇ,Neutra
7324,해리포터를 좋아하는 사람이라면 누구나 이 책을 좋아할 것입니다. 왜냐하면 이 책은 악한 사람들과 싸우고 무력화하는 것에 관한 것이기 때문입니다.,Neutra
7325,SM7 멀티 링크 보다 낫 다 네요 . ㅍㅎㅎㅎ,Neutra
7326,진짜 성룡형팬이었는데 스티븐유 하도 감싸고돌아서 용이형도 이젠 비호감스럽다.,Negativa
7327,대단했습니다 Mess Around 에 레코딩상황은 정말 보는 저도 흥분시키더라구요,Positiva
7328,흠... 쿠주리!!꾸주릐!!,Negativa
7329,괜찮던데용,Positiva
7330,"폴 진델(Paul Zindel)의 4명의 십대와 그들의 관계 문제에 대한 고전적인 이야기는 때때로 감동적이고 완벽하게 어조가 있지만, 여기에 제시된 대부분의 문제는 발생하는 만큼 오래되었습니다.",Neutra
7331,현기 에 대한 반감 과 키 보드 워리어 들 덕분 에 연비 가 많이 과장 되었 죠 .,Neutra
7332,그는 시계의 분침 모양의 작은 열쇠를 소유하게 됩니다.,Neutra
7333,저 사람들은 저렇게살아 하고 연인의 일상을보여준다,Negativa
7334,개노잼;; 뭔가 스토리도 부족하고 다이상함 진짜;,Negativa
7335,토니 힐(심리학자)은 고문을 당하고 살해된 매춘부 살인 사건을 귀속시킨다.,Neutra
7336,이 벽 안에는 무수한 비밀이 있고 열쇠에는 셀 수 없는 신비가 붙어 있습니다.,Neutra
7337,"감정적으로 얽힌 쌍은 ​​다른 누구의 도움도 거의 없이 자신의 괴물과 싸워야 하며 둘, 특히 캐롤은 큰 개인적 위험에 직면하게 됩니다.",Neutra
7338,역겹도록 지루하다..,Negativa
7339,천안함 프로젝트의 재림.,Negativa
7340,이게 정녕 파이란을 만든 감독의 작품입니까?파이란때 약이라도 드셨었나요?어떻게 그런 명작을 만들고 이후로 죽을쑤시나요,Negativa
7341,내가 처음으로 다크나이트 배트맨 비긴즈볼땐 지루해서 재미없다고 생각했지만 처음부터 내용이해하면서 보니까 시간 개빨리감 개꿀잼,Positiva
7342,"쉐보레 를 예 로 들 면 , 스파크 , 아베 오 , 트랙스 , 올란도 , 캡티바 , 크루즈 , 말리부 는 국내 생산 계속 하고 , 임팔라 , 콜벳 , 카마 로 , 볼트 , 트 래 버스 , 에퀴녹스 는 수입 으로 판매 해야 됩 니다 .( 개인 적 으로는 캡티바 후속 , 말리부 도 장기",Neutra
7343,영화를 보는 내내 입에서 욕이 나오려고 하던걸요/ 쓰레기,Negativa
7344,예전 영화라 그런지 완죤 재미없는디...,Negativa
7345,사실적인 영상만 좋았다.,Negativa
7346,"그러나 The Intruders의 이야기는 과거에 문제가 있었던 전직 경찰이자 최근 우연히 일종의 작가가 된 Jack Whalen이 고등학교 동창인 Gary Fisher의 갑작스런 방문으로 시작됩니다. 20년 만에 본 적도 없고, 약간만 아는 사이였으니, 즉석처럼 보이는 재회를 잭 같은 사람에게 더욱 의심스럽게 만든다.",Neutra
7347,몇 통의 전화와 미스터리한 영상 메시지를 받은 잭은 아내를 찾고 그녀가 누구와 관련이 있는지 알아보기 위해 여행을 떠납니다.,Neutra
7348,여껴움..주제의식 결여..예술을 모방한 개예술,Negativa
7349,니들이 좋아하는 김일성... 고난의 행군 300만명 아사,Negativa
7350,내 휴일을 망처버린 악중에 최악의 영화. 윌리엄? 니가 만든영화 다시보면 내가 개다,Negativa
7351,시간이 아깝다.,Negativa
7352,진지하게 무서운거 눈꼽만큼도 못느낌.... 박진감도 못느낌... 그냥.... 말그대로 킬링타임용으로 봄....,Negativa
7353,이스타나 ? 그레이스 ~ ㅎㅎ,Neutra
7354,나만 죽을수없다... 같이 죽자...,Positiva
7355,"연출, 연기, 대본 다 별로임",Negativa
7356,^^,Positiva
7357,우와 그래서 슈퍼내츄럴에 후속작으로 마녀가 나온거구나,Positiva
7358,"스타게이트를 본 사람들이 불쌍하면서도 부럽다. 이런 대작을 못본 사람들이 불쌍하고 앞으로 보게되면서 느낄 재미에 질투가 난다. 개인적으로 스타트렉보다 딱 99배 낫다. 이거 만약 스타트렉 비기닝, 다크니스처럼 영화로 나온다면",Positiva
7359,'륄리'의 그 광기까지 사랑할 수 밖에 없다.......,Positiva
7360,"원래 제네시스 쿠페 와 크루즈 둘 중 에 하나 를 골랐 던 것 인데 , 제네시스 쿠페 특히 후 측면 을 보면 멋지 다는 생각 밖에 안 드네 요 . 고민 입니 다 ~",Neutra
7361,세르지오 레오네.당신에게 많은 것을 배웠습니다. 존경합니다.,Positiva
7362,잭슨 형님도 브루스 윌리스 처럼 말년에 안가리고 닥치는데로 찍기로 결심하셨네,Negativa
7363,"안티가많다는것은 인기가잇다는것?그것도정도를벗어나면 인기가아닌 안티에불과하다는것!!고정시청률을자랑하는시간대에서 항상 똑같은 내용으로빙빙돌리고 돌리는것도 적도가잇지 넘한다는~ㅜㅜ이제남은것은 몇회뿐인데 마지막 1,2회남기고급진행하지말길~안타까움!!",Negativa
7364,솔직히 더러운 영화.,Negativa
7365,글쎄요. 일방적인 시각 아닐까요?,Negativa
7366,Arthur는 나중에 Fetchers라는 중산 모자를 쓴 남자들에게 괴롭힘을 당하고 쫓깁니다. Fetchers는 불의 검을 든 남자가 이끄는 치명적인 전염병을 퍼뜨리는 가상의 동료입니다.,Neutra
7367,나 지금 군인인데.... 엄마한테 전화하고싶다....,Positiva
7368,제목은몰랏지만 어릴때본건데 계속생각남다른 건기억안나는데이건무척기억에남는만화,Positiva
7369,"연기력은 점수를 주고 싶으나.. 원래 인간>종교이여야 하나, 인간<종교 쓰레기 영화...",Negativa
7370,메시지를 전하려고 하는 영화인건 알겠으나 무슨 강간의 왕국 무법지대냐. 사냥꾼들은뭔데 아무리 여자들만 있다고 강간을하고 그딴식으로 행동하는지. 나도 남자지만 진짜 그 장면에 기분 겁나 더러워졌다,Negativa
7371,애초에 이런영화는 기대란것을 말아야 된다.,Negativa
7372,"아름다운 풍경과 배경음악, 평범한 사람들..",Positiva
7373,"Norton, Judith 선장의 딸, Boyd Carrington 및 Miss Cole",Neutra
7374,요즘은 이런 웨스턴이 왜 없을까?,Positiva
7375,lpi 라고 엘피 지 직분 사 시스템 나온 뒤 로 가솔린 이랑 큰 차이 못 느끼 는걸 로 아 네 요 . 이기술 을 현기 가 가지 고 있어 서 엘피 지는 현대 라는 말 이 나온 거 죠 .,Neutra
7376,이해가 안가는 영화다 지루하고 짜증나는 조올작,Negativa
7377,슈스케는 3에서 정점찍고 거기서 끝냈어야 했다고 생각합니다 억지로 6 7 8 계속해서 나오는건아니죠? 회가 거듭 할수록 실력보다 인기투표의 비중이 높아질것 같네요,Negativa
7378,"카메라로 많은 이야기를 하는 영화,,",Positiva
7379,서정적이고 난해한 스토리,Negativa
7380,쉐슬람 에서 현기 로 간다 니 ;;;;,Neutra
7381,가족이밍크코트??? 여호와가 더 밍크코트!!!,Negativa
7382,OOO기영화,Negativa
7383,더러운 영화,Negativa
7384,아 K7 ㅎㄷㄷ 한 차 타네,Neutra
7385,진짜 잼없었음,Negativa
7386,잼 나 게 잘 봤 습니다 . 현기 빠 도 까도 아닌 저 는 주관 적 으로 lf 부터 나오는 모델 들 은 차량 강성 도 그렇 고 디자인 도 그렇 고 상당히 좋아졌 다고 생각하고 있 습니다 . 허 나 가격 은 글쎄 네 요 . 깡통 에 가죽 시트 에 휠 을 상위 트림 것 으로,Neutra
7387,배우들은 맘에드는데,Negativa
7388,알란 탐..ㅋㅋ 이번영화는 덕화형보다 알란형이 캐짱이였음..ㅎ,Positiva
7389,"저 시대에 이런 소재를 가지고 영화를 만들었다는거 자체로 영화를 보는 내내 대단하다고 생각했고, 생각했던거 보다 재밌네요",Positiva
7390,최고의 호로블록버스터,Negativa
7391,아슬란 정도 ? 애매 한 포지션 ...,Neutra
7392,샤이니오빠들 사랑해요!! 지금은 빛나는 우리 샤이니 시대!! 진기.종현.기범.민호.태민 오빠 사랑해요!,Positiva
7393,코믹영화지뭐... 이거...특히 최주봉,Positiva
7394,충격 마릴라 커스버트 목소리가 린드 레이첼 부인 목소리로 나오다니~,Negativa
7395,"그래서 Arthur와 Suzy는 많은 만남을 가지다가 붙잡히게 되고, Arthur는 왕국의 석탄 저장고에 던져지고 집 안의 왕국과 "" 당신이 그것을 볼 수 있고 그것을 잃지 않고 영역에 영원히 좌초되지 않고 한 영역에서 다른 영역으로 빠르게 이동할 수 있는 경우에만 존재하는 ""가능성 없는 계단""",Neutra
7396,난 왜 영화관에서 왕의남자랑 고민하다 이걸 봤을까 시간이 지나도 후회됨,Negativa
7397,화나서 참나.... 내가 이걸왜봤나싶음. 시간이 아깝도다... 아 열받아...이건 1점도 아깝다,Negativa
7398,캐막장의 표본. 이건 절대 영화 (Film or Cinema)가 아니다. 관객을 죽이는 도구임.,Negativa
7399,김수미 임창정 예고편보고 낚였다.... 그장면보다 기분좋고 재미있는장면은 영화 전체 어디에도 없다.,Negativa
7400,ㅋㅋㅋㅋ시크릿빅뱅졸잼ㅋㅋ,Positiva
7401,재미가 없다,Negativa
7402,이처럼 많이 울어본 영화도 드물다... 후반부 찔레꽃 합창이 나올때는 참았던 눈물이 터녔다... 모든것에 감사할수 있는 따뜻함을 느낄수 있는 100점짜리 영화이다!!! 강추!^^,Positiva
7403,그러나 Marshall이 천천히 밝히듯이 Whalen 가족의 기초 주위에 작은 균열이 있습니다. 반드시 균열이나 하품의 틈이 있는 것은 아니지만 그럼에도 불구하고 균열,Neutra
7404,이런걸 영화라고.. ㅉㅉ 마지막에 CCTV에 찍힌 영상들 차례대로 쭉 보여주기 식으로 나열되어있는 부분 진짜 짜증나서 컴퓨터 부술뻔,Negativa
7405,감독이 미드를 너무 많이 본듯 ㅋㅋㅋ,Negativa
7406,별 반개도 아깝다 존나 유치하네 OO 초딩영화임 쓰레기임,Negativa
7407,결함 이나 불량 이 있으 면 브랜드 불문 없이 올려 주 세요 현기 vs 타 사 하지 말고 전부 다 소비 지 아닙니 까 ㅋ,Neutra
7408,올리버 스톤 특유의 냉소적인 시선이 느껴지는 반전영화.,Positiva
7409,아 진짜 쓰레기던데 ;;,Negativa
7410,쿠키 영상이 제일 재밌었다.,Negativa
7411,추천하고 싶다. 사실주의가 무엇인지 보여준다. 히틀러와 당시 독일의 상황 속에 들어간 듯 하다. 수많은 질문을 던질 수 있는 영화다.,Positiva
7412,"양심없는 제작진, 답이 안나오는 막장 팬덤, 라이어 게임 표절작",Negativa
7413,보는 내내 몰입한 영화.. 이 영화의 진정한 악역은 따로 있었다!,Positiva
7414,이 영화를 왜 만들었을까.,Negativa
7415,한국 도로 에서 현기차 밖에 안 보인 다는 글 에 세계 판매량 가져오시 는 분 이 더 이상한 거 죠 . ㅎㅎ 저 는 분명히 가격 대비 성능 비 를 언급 했 고 가격 이라는 건 결국 원화 기준 인거 아닌 가요 ? ㅎㅎ 한국 에서 제일 좋 은 차라 는 거 에요 .,Neutra
7416,뭐지... 이 평점은.... 근근히 잔웃음이 있긴해도 막 웃을정도 아니었음. 독립영화치고 감동도 여운도 없음. 내용도 유치하고 강아지 장면에서만 재밌었음. 그 장면도 개가 살렸다고 봐야함ㅋ,Negativa
7417,그는 새로운 친구들을 만난다,Neutra
7418,윤후 빼고는 다 좋은데 윤후는 시러요,Positiva
7419,어린이날 어린이날 특선 영화 보면서 쳐 울고나 있고... ㅠ_ㅠ,Positiva
7420,로망은 어디에,Positiva
7421,리딕이란 영화를 알게 됐는데 시리즈가 있어 1편먼저 보니 볼만했다,Positiva
7422,난 재밋어ㅋㅋㅋㅋ 혼자 열라 낄낄댓네,Positiva
7423,갈수록 지겨워졌음...,Negativa
7424,네 다음 말리부,Neutra
7425,392페이지 분량의 서스펜스 읽기로 관객들은 충분한 시간을 할애해야 합니다.,Neutra
7426,재미 더럽게없다..1점준거중 한국 예능프로는 죄다 10점주는 매미OO있네,Negativa
7427,헐 이건 또 뭔가 요 ? 콘티 넨 탈의 문제 인지 현대 의 문제 인지 모르 겠 으나 제네시스 가 한국 타이어 리콜 로 한바탕 하고 나 서 콘티넨탈 로 바꾼 건데 좀 시끄럽 겠 네요 . 안전 상도 문제 있어 보이는 데 발견한 소비자 만 바꿔 줄 게 아니 라 이 해갈 만 한 해명 과 조치 가 있어 야 할,Neutra
7428,영화자체도 재미가있고 반전도좋았다 무엇보다 안재욱씨가 너무 멋있었다ㅋ,Positiva
7429,그저 놀라울 뿐이다... 어떻게 다른 드라마를 제치고 이렇게 우뚝 섰는지는.,Negativa
7430,신 말리부 현대 모델 이 였 으면 원가 절감 & 내 수차 별로 가루 가 될 모델 입니 다만,Neutra
7431,아빠가 죽었어야 하는 영화,Negativa
7432,그러나 그것은 특히 결혼과 결혼에 대한 어리석음에 반대합니다.,Neutra
7433,로긴하게 만든 첫 영화..우뢰매 CG 가 그립다면 츄라이~~ 내가 왜 봤지;;,Negativa
7434,개 쓰레기라던데 ㅋㅋ,Negativa
7435,Agatha Christie만이 그녀의 영웅을 이런 식으로 끝낼 생각을 할 것입니다.,Neutra
7436,투스카니 suv 같기 도 하고 .... 특히 헤드라이트 가 ...,Neutra
7437,그들의 부모는 그녀에게 전혀 관심을 기울이지 않았다,Neutra
7438,이 책은 내려놓고 싶지 않은 페이지 터너였다.,Neutra
7439,정말 재밌게 봤다.. 처음엔 긴가민가 했지만 진짜 배꼽빠지게 웃었다,Positiva
7440,한편의 성장소설을 읽는 느낌이 들었다.특히 꼼꼼하고 반전이 있는 줄거리가 매력적이다,Positiva
7441,내가 이걸 왜 봤을까...,Negativa
7442,이 영화 보고 베티블루 보면 별 열개가 아깝지 않을걸,Negativa
7443,복잡한 예술가를 더 난해하게 예술로 표현...,Negativa
7444,솔직히 이건 비단 현기차 만의 문제 는 아닌 데 참 모 지라 보이 네요,Neutra
