,Sentence,Polarity_Classification
11514,영화가 왤캐 빨리 끝나니? --,Positiva
11515,발연기 ㅠㅠ대박 널린게 연기잘하는애들이줄섰는데 아휴,Negativa
11516,최고의 엔터테인먼트.끝내준다는 말로도 부족하다,Positiva
11517,독특하긴하지만 유치하고재미없다,Negativa
11518,10화 까지 본 사람이지만 마지막화를 안보고서 말합니다. 너무 막장이네요 이사람은 저사람을 좋아하고 저사람은 그사람을 좋아하고 그사람은 이사람을 좋아하는 애니는 보고싶지 않습니다만 꾹 참고 완결까지 보고 시청 전의 평론과 그때의 평가를 비교해보죠,Negativa
11519,폴워커..생전에차를어지간히좋아했던듯..,Positiva
11520,현실을 보는 눈이 있다는게 그래도 다행입니다,Positiva
11521,헐..이걸 영화라고 ㄱ- 장난치나..,Negativa
11522,이렇게 높은평점 받을 영화는 아닌듯..딱7~8점초반영화,Negativa
11523,야설도 개연성은 있어야지,Negativa
11524,펭귄과 짐캐리의 코믹한 영화임 짱 재밌음,Positiva
11525,좋은 시도의 영화입니다.,Positiva
11526,이병헌 당신의 연기는 한국 배우 중 최고입니다. 앞으로는 할리우드에서 더 많은 배우와 연기하면서 세계적인 배우로 거듭나기를 바랍니다.^^,Positiva
11527,아.... 탁.탁.탁.,Positiva
11528,일본스타일 공포영화를 시도한듯한느낌. 깜짝깜짝놀래키는것밖에없는 일회용 공포영화,Negativa
11529,shy1709. 네놈 인생부터 조정하고 영화평론해라 1점짜리인생아.,Positiva
11530,이수정 정말 지조없는 여자..짜증나 -_-,Negativa
11531,"영화에 성공하는 비결은 단 하나, 자신만의 영화를 만드는 것이다.",Negativa
11532,내용하며배우들연기력하며두루두루매력넘침,Positiva
11533,"그 사랑.. .. ,. !",Positiva
11534,이 영화가 크리스토퍼 놀란 감독의 영화라닝,Positiva
11535,미취학아동수준이면 재밌게본다,Negativa
11536,돈 내고 포켓몬 받는 영화,Positiva
11537,올리!올리! 아이들도 지루해하는 올리!,Negativa
11538,개 쓰레기.. 정말 욕나온다.. 18,Negativa
11539,탄탄한스토리전개가압권!!!! 애절한주인공들눈빛도넘좋아요,Positiva
11540,80년 당시에는 최고였을 명작 어드벤쳐 영화. 30년이 지난 지금도 지루한 것 없이 여전히 재밌다.,Positiva
11541,피티기는 액션은 음지만 가치로는 7점은 주고싶다(어린늠들 액션밝히지마라),Positiva
11542,왜 0점이없는것이냐 ? OOOO 나이거보는도중에 티비뽀삿다 ㅡㅡ 뱀 지하철뭐냐? 개재미없네,Negativa
11543,어린 나이에 그때의 시선으로 봤던 마지막 장면... 말할 수 없이 깊었던 여운이 떠올린다.,Positiva
11544,남성동성애자의 고민을 알수 있어 좋았습니다.이 사회의 성적소수자이고 편견없이 사랑으로 감싸주고 포용해주어야할 이성애자와 동등한 인간이라는 생각을 이 영화를 통해 알게되네요.게이의 아픔이 좀 울컥하네요.,Positiva
11545,카메론 디아즈는 아름다웠지만 영화는 더러웠다,Negativa
11546,"그다지 웃기지도, 치료과정이 설득적이지도 않다.",Negativa
11547,우왕 굿 이거 좀 짱인듯??????????????????,Positiva
11548,벤에플렉이랑 브루스윌리스가 서로 마지막대화할때 소름돋는다,Positiva
11549,이은미 '그녀이름은 DHR'에서 인상적으로 봐서 조금은 기대하고 봤는데.... 완전 개족보...,Negativa
11550,"1970년대 영화 아니였나? 충격이다 ㅡ,,ㅡ",Negativa
11551,보다 껏네요...지금시대가언젠데 어휴..공룡들보면 무슨장난감갖고 사투벌임?돈아깝다...,Negativa
11552,김동욱 화이팅!!!!,Positiva
11553,록키 6라... -_-;;,Negativa
11554,너무너무 좋은 내용의 영화예요^-^ 짧은게 무슨 대수겠어요^ㅁ^,Positiva
11555,기다리고 기다리던 드디어개봉 !!,Positiva
11556,내마음이 매말랏나?,Negativa
11557,비합리적인 공포.,Negativa
11558,ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,Negativa
11559,내가 일본 영화를 사랑하는 이유는 일본 영화는 눈으로 보는게 아니라 마음으로 볼수있기 때문이다! 싸구려 한국영화에 지친 그대들에게 이 영화를 추천한다!,Positiva
11560,"개인적으로 나도 이소룡을 너무 좋아햇고, 정말 훌륭한 영화였다.",Positiva
11561,보고나면 허탈해진다. 개연성이 떨어진다... 점수가 너무 높아서 낮추는데 일조하고 싶다.,Negativa
11562,"쓰레기 영화... 시간과 기대가 아깝다. 쿠삭과 드니로, 세계적 경제불황때문인가. 이들도 3류 쓰레기 캐피탈 대부광고 출연이 연상될 정도다.완전 대실망. 평점은 0점을 못 줘서 1점 준다.",Negativa
11563,사랑의 방식? 그 당시 국내의 대중화된 작품 중 최상위 포르노그라피.,Negativa
11564,기대하고 보는 남자분들에게: 진심 야동보다 못합니다.,Negativa
11565,시간 내서 볼 필요가 없는 영화이 영화를 볼 시간에 다른 스릴러를,Negativa
11566,아니이런영화는 빵점이다 이게무슨반전영화야뻔한데오늘도속는다,Negativa
11567,와리스 대단한 존재다 그런데 이 영화는 뭐냐,Negativa
11568,세상에 ㅋㅋㅋ 이거 예전건데 ㅋㅋㅋ 근데 아직도 평점을 달고 있어 ㅋㅋㅋ 뭐가 소름이 돋는다는거야 ㅠㅠ 왜이래 다들 ㅠㅠ,Negativa
11569,노인을 위한 나라는 없다.,Negativa
11570,"아 웃겨 잠 잔고 일어나면 ,,, ㅋㅋ",Positiva
11571,"잊혀지질 않아, 두 사람의 사랑을..",Positiva
11572,아이만화마저북유럽 영화다운 지루함,Negativa
11573,뭔가 좀 어색한...,Negativa
11574,아메리칸뷰티에 너무 밀린다,Negativa
11575,This is shit ever...director needs to be extincted right away. you are wasting time for so many people. Holy damn..,Negativa
11576,shut up &die Bush,Negativa
11577,모든 순간들은 시간속에 사라질거야 빗속에 흐르는 눈물처럼...,Positiva
11578,에로도 아니고 스릴러도 아니고..뭔가 어설픈 영화,Negativa
11579,영화관가서 봤다...... 제타존스때문에 2점.. 캢영화다..,Negativa
11580,ㅋㅋ삼천포 굿~,Negativa
11581,케이온3기나왔으면 ..,Positiva
11582,아놔..ㅡㅡ^,Negativa
11583,초한지 서적 보시길 ... 권장합니다,Negativa
11584,끝부분 액션신에서 비의 순간이동은 무리수였다,Negativa
11585,전형적인 미국식 코미디,Negativa
11586,그녀들에게서 느껴지는 쓸쓸함,Positiva
11587,헠헠헠,Negativa
11588,디 아더스의 영향을 벗어나지 못하는 평이한 공포물,Negativa
11589,슬픔을 넘어선 어떤 느낌..,Positiva
11590,"""""아저씨 그렇게 웃는거 예쁘다."""""""" 마지막 이 대사가 너무 아름다우면서도 슬프네요. 저같이 감정이 매마른 사람도 가슴 먹먹하게 하는 슬픈사랑이야기에요. 정말 오랫동안 기억에 남을거 같습니다.""""",Positiva
11591,시간 아깝다.,Negativa
11592,최악 촌스러 2010년 개봉이 믿기지않는다,Negativa
11593,"갠적으로 08,09년 2년간 다크나이트 트랜스포머2 아바타 ..최고의 2년이었다고 본다. 그때 정점 찍고 약간 내려오는중. 하나는 히어로물계의 원탑 하나는 메카닉계의 원탑,또하나는 흥행계의 원탑. 숲속 3대1액션과 후반부 합체장면만으로도..",Positiva
11594,재밌었어요.. 어어어어엉어어 이 부분,Positiva
11595,무슨 먼치킨이야 다해먹네 감독 주연,Negativa
11596,개연성없는 각본에 수준 낮은 연출,Negativa
11597,"저렴한 떡방아 영화이지만, 하우스 뮤직 좋고,,딱히 볼거도 없고 가끔 꼴리게도 해주",Negativa
11598,무슨 표현이 필요한가?,Positiva
11599,차태현 이제 그만 해라,Negativa
11600,뭔가 있을 것 같은 이야기처럼 끌어가다가 결말은 걍 이런 반전이야 하며 끝내버리는 싱거운 스릴러,Negativa
11601,독일군가가 울려퍼지는 인상적인 엔딩,Positiva
11602,이럴 떄 보면 딱이겠네.,Positiva
11603,무슨소리007시리즈는홍콩할매에비하면 하수구쓰레기다,Positiva
11604,자동차 홍보대사야 뭐야,Negativa
11605,"카타르시스라도 존재하면 이해하겠는데, 그조차도 없다.",Negativa
11606,"상영관이 없는 까닭은 온라인, IPTV채널에 동시상영 서비스 오픈하려고 단관개봉 한거고.. 즉 1만원에 팔아먹겠다는 거. 오인혜를 얼굴마담으로 내세운 고도의 낚시 영화로 판단됨",Negativa
11607,초딩5학년이 봐도 유치해,Negativa
11608,2012년도에 참으로 억지스럽네 미국을 욕해라 뭐 이런건가? ㅋㅋ,Negativa
11609,빈디젤의 매력이 풍기지 않던 영화,Negativa
11610,이런거 정말싫어,Negativa
11611,중반부까지는 뭐가뭔지 몰라 헤매게 되더라. 근데 후반부는 꽤 볼만했음. 좀 더 관객을 배려하는 영화가 되었으면 어땠을까 싶었음.,Negativa
11612,안본 사람은 있어도 한번만 본사람은 없다는 그 전설의 애니인가? ㅋ 캐릭터 귀엽고 좋네요~,Positiva
11613,외모지상주의 사회에 일침을 가하는 영화! 사와지리 에리카에게 딱맞는 역할이네요 완벽한 미모.. ㅠㅠㅠㅠ 보고나서 많은 생각이 나게 하네요,Positiva
11614,0점 주는 기능은 없나요?,Negativa
11615,말이필요없는영화 꼭보길!!,Positiva
11616,힘들지만 아름답고 당당하게 살아가는 사람들의 이야기.,Positiva
11617,전편 보다 나은 속편은 없다.,Negativa
11618,다보고나서 오랫동안 기분좋은 영화 이거 정말 공감,Positiva
11619,웃겨 OO ㅋㅋㅋ 대사들이랑 제목 센스 보소ㅋㅋㅋ,Positiva
11620,주몽 왜 봤을까......이걸 본방볼걸,Positiva
11621,이영화를 보게되면 눈물이없다는 사람도 눈물을 흘릴것입니다...,Positiva
11622,레아 세이두라 기대해도됄까,Positiva
11623,빅뱅,Negativa
11624,"1점 주기도 안까운, 하지만 10점 주는 애들도 있나는 ;;ㅡㅡ?",Negativa
11625,볼만해;,Negativa
11626,배울점이 많은 영화.. 역시 오종,Positiva
11627,중국답다 진짜 -_-....,Negativa
11628,별루,Negativa
11629,완전 애들용,Negativa
11630,좋습니다.,Positiva
11631,둘다 뭐하자는건지 모르겠음..말도 안되고..유치함,Negativa
11632,"에휴....,,..",Negativa
11633,카뮈,Positiva
11634,오글거리고 지루하고 눈감고 노래만 듣는다.,Negativa
11635,그녀처럼...스스로의 자존감을 찾을 수 있다면...나도...어떤 길이라도 갈 것이다.,Positiva
11636,억지적인 스토리와 불필요할 정도로 화려한 액션,Negativa
11637,-tres bian-,Positiva
11638,토모다 너무 청순 섹시하네요~~잼있습니다.,Positiva
11639,여운이 죽어서 대실망. 다보고도 기분이 찜찜,Negativa
11640,"다 제껴놓고 한 가지만 말하고 싶다, 무도회에서 말한마리 들어왔다고 포우와 같이있던 애인이 너무 쉽게 납치된다는 설정이 아무리 이해할라고 해도 이해가 되질 않는다.",Negativa
11641,중학교 때 혼자 극장가서 보았던 영화... 생각만 해도 가슴 찡한 명작...,Positiva
11642,아! 이렇게 좋은 영화에 sea of japan이라니...그 것때문에 10점을 줄 수가 없네. 정말 감동받은 영화인데. 결국 국력을 키워야 하는 건가. 이 것이 현실이구나. 이안 감독이 나를 시험에 들게 하는구나. 가만히 있으면 안되는거 같은데.,Negativa
11643,화살과 함께 스토리는 저멀리,Negativa
11644,9점,Positiva
11645,과거의 액션전문감독과 스릴러전문작가가 의기투합했지만 실패였다,Negativa
11646,복음과 겸손과 사랑을 배울 수 있는 옥한흠 목사님의 생액 잘 나타나 있는 작품입니다 추천합니다!,Positiva
11647,"초딩 버전 첩보물은 스파이키드, 중딩 버전 첩보물은 스톰브레이커",Negativa
11648,내가 장담 하는데 저 감독이랑 배우들 저거 찍으면서 지들끼리 맨날 빵빵터졌을듯 진짜 코메디임 ㅋㅋ,Negativa
11649,30분뭐지?,Negativa
11650,애들이 줄었어요 속편격.. 그당시엔 최고의 가족물 시리즈,Positiva
11651,감동이 전혀없는 영화 감독이 뭘 말하려고 했는지... 재미를 위해 만들었다는데 재밌긴 커녕 찝찝하기만 함....,Negativa
11652,보지도않고 1점은 왜주니,Positiva
11653,이영화 정말 헐리우드가 다가 아니란걸 알려준 영화,Positiva
11654,소재만 좋았다. 이런 영화는 캐릭터가 곧 스토리 인데 민폐캐릭터들 때문에 보는 내내 짜증만 나옴.,Negativa
11655,"장르 : 액션, 스릴러, 공포",Positiva
11656,100번을 보아도 100번째 눈물을 흘릴 수 있는 영화.명실상부한 최민식의 대표작.!!,Positiva
11657,ㅉㅉ,Negativa
11658,독립영화에 내리는 사형선고이자 역대급 저질 프로파간다. 여기 나온 음모론 다 거짓말인거 다들 아시죠?,Negativa
11659,시즌3까지 본상태.. 잼네요 ㅋㅋ 5까지 달리는거다 ~~,Positiva
11660,깊게 깊게 파봤을 때...,Positiva
11661,그냥 잉여. 제이슨이 병맛.,Negativa
11662,여기 전라도 비하하는 인간같지도 않은 인간들아. 영화 내용이 중요하지 지역이 중요하냐? 그럼 <한공주>에서 밀양이야기 안꺼낸건 어쩔건데? 아.. 자기 내용이 나와서 움찔한 거냐? 함부로 떠들지 마라...,Negativa
11663,"왜 이런 멋진영화가 평점이 낮지,,? 다른 수식어구 필요없는, 말 그대로 멋진영화!",Positiva
11664,하두 지루해서 짐머가 누굴까 궁금하지도 않는다.,Negativa
11665,게이나올때부터 토쏠려서 꺼버렷음 아놔 시간아 재길...,Negativa
11666,"진짜 재미없다....,. 진심",Negativa
11667,이게 왜 19금이지? 글고 영화 보는데 집중이 안됨 ㅋㅋ 노래 부르니 무슨 디즈니 애니 보는거 같음,Negativa
11668,다 재밌어요 믿고보는 톰크루즈!,Positiva
11669,전지현때문에 본영화인데 최악이죠윽,Negativa
11670,엄마 죄송합니다그리고 저도 더 열심히 살아야겟어요...,Positiva
11671,마지막에 제작비가 떨어져 촬영접는 감독의 분노인가? 차를 들어서 던져버리네..,Negativa
11672,평론가 새11끼들 있는 척 하려고 짜게 준거 봐 ㅋㅋ 미스터빈 오마쥬 영화 중엔 제일 잘 만들었고 추천 자신있게 해주는 영화다,Positiva
11673,"슈렉 결혼햇대,아기도낳았어",Positiva
11674,첫화부터 정말 뜻깊은 일을 하셨네요!신화오빠들 흥해라 신화방송 흥해라!화이팅임니다!,Positiva
11675,뒤늦게봤다 역시 몇년된거지만아이돌없고 조재현 윤재문 장현성 몰입도는 굿,Positiva
11676,다시 봐도 수작이다. 미국 국수주의라 뭐라는 시점도 있겠으나 전쟁물 중에 손가락안에 꼽을정도로 잘만들어 졌다. 스토리 라인은 뻔하나 그 뻔한걸 너무 잘 살렸다. 언제 봐도 다시봐도 재미 있다. 10년이 지난 영화가..,Positiva
11677,개나소나 쉐프인가요? 요리 지망생 대리고 시청자 우롱하지 맙시다 피디님.,Negativa
11678,웹툰으로 눈물 펑펑 쏟았던 제가 살아서 움직이는 배우들의 연기에 눈물한방울 안흘렸습니다 처음에 웹툰말고 영화로 보셨던 분들 웹툰 500원내고 한번 보세요 왜 평점이 이런지 아실겁니다.(참고로 전 여자입니다),Negativa
11679,장애는 부끄러운게 아니고 극복하는것도 아니고 수용하는것 입니다^^,Positiva
11680,OOO,Negativa
11681,외계남성이 지구남성으로 변하는 과정이 리얼하다,Positiva
11682,별점이 왜 낮지...잼있어요!!,Positiva
11683,"아직도 본인이 액션 히어로라 믿고 있고, 그것이 사람들에게 어필하고 있다고 생각함.",Negativa
11684,잔잔함을 좋아하는 사람에겐 최고의 영화.시각적인 재미를 원하는 이에겐 꽝인 영화.,Positiva
11685,나도 달에가서 치즈를잘라먹고싶구먼,Positiva
11686,개인적으로는 최고의 영화라고 생각합니다..,Positiva
11687,이런식의 눈물원하는 영화는 별로!,Negativa
11688,봉태규영화중에가장볼만한거피식은합니다.,Negativa
11689,밋밋하네...,Negativa
11690,20세기 세손가락 안에드는 위대한 말빨!!,Positiva
11691,보다가 포기한 몇 안되는 영화,Negativa
11692,그냥 어둡기만 하고 깊이 없는 영화.. 영화는 소통인데 과연 감독은 무엇을전하려고한걸까 ? 그냥 개인의 향기에 빠진것은 아닐까 ? 연기자들의 연기도 별로였다...,Negativa
11693,다 아는얘기인데도 영상미가 너무좋았어요~,Positiva
11694,주성치 사단이 본격적으로 가동되기 전인지 새로운 느낌을 줍니다,Positiva
11695,이건 걍 지들끼리 배우흉내내는 비디오에 지나지 않는다,Negativa
11696,"라이언 고슬링, 조지 클루니??",Positiva
11697,재밌네ㅋㅋㅋㅋ 겨울왕국만큼,Positiva
11698,무덤덤한 관능 속으로,Negativa
11699,말되안되 거짓말~~,Negativa
11700,뭐임;;완전 막장이잖어;;마지막에 애들 정체도 안밝혀지고,Negativa
11701,정도전 이인임 최영 조민수 이색 정몽주 이방원 이성계,Positiva
11702,니미 이딴영화 만드는 제작진이나 배우들이나 그걸또 좋다고 보고있는 새끼들 진짜 한심하다 OOO기 저질영화ㅉ 야1동을봐 차라리 뭐하는거야ㅋㅋㅋㅋ 제작비가 아깝다 삼류인생들아,Negativa
11703,역시 잘생겼다. 강동원.... 영화도 재밌고. 왜 평점이 이리낮은건지;,Positiva
11704,마음을 더 빨리 알았다면..ㅠㅠ,Positiva
11705,별기대없이 봤다 득템한 영화~~완전 귀여운 꼬마...훈훈한 감동~~스르르 미소가 절로 지어집니다...갠적으로 넘 맘에 드는영화..^^,Positiva
11706,여운남는영화 감동적인영화 많은걸 생각하게 해준영화,Positiva
11707,채원누나 너무너무 이쁩니다.채원누나랑 결혼하고 싶습니다.,Positiva
11708,이동욱 의외ㅋㅋ 진짜 재밌었어요ㅋㅋㅋ,Positiva
11709,말이필요없다,Negativa
11710,왠만해선 1점은 안주는데..,Negativa
11711,관객을기만하는영화,Negativa
11712,아이고.. 이거뭐냐 등가교환 어따 팔아먹은거냐.. 진짜..실망이네. 오리지널 극장판 샴발라가 더 나은듯. 개인적으로. 강철은 역시 만화가 진리라는 것을 또한번 느낌.,Negativa
11713,천사와 악마 종교와 과학 누가 천사이고 악마인가 아니면 그것들을 행하는 인간이 천사며 악마인가 선악은 항상 공존한다.,Positiva
11714,강호동씨! 운동이 기본인 프로를 하려면 룰 이라도 제대로 공부좀 하고 나오세요 다들 실력이 느는데 혼자만 제자리 걸음에 아직도 초보적인 실수가 연발인...,Negativa
11715,정말 너무 지루해서 머리가 폭발할것 같다,Negativa
11716,말론 브란도의 강렬한 연기와 우수에 찬 눈빛은 너무나도 멋지다!,Positiva
11717,우연히 보고 눈을 뗄수가 없었다. 뛰어난 방은진의 연기....,Positiva
11718,스크린에 나오는 풍경 그리고 배우들의 그 프랑스의그느낌 b최고임,Positiva
11719,영화 스토리는 1점도 주기 아까운데 그래도 포스터는 그럴듯하게 했으니 3점 준다3점도 대인배다,Negativa
11720,뭐니..잼나네..액션..비쥬얼 죽네ㅔㅔㅔㅔ,Positiva
11721,박찬욱은 또라이자 천재라는걸 보여주는 영화,Positiva
11722,식상한 소재...최소한 연기잘하는 주연배우 한명정돈 있어야..,Negativa
11723,식상해 죽는줄 알았다..............,Negativa
11724,유로트립이 훨났다! 무슨소릴!,Negativa
11725,정혜영 엄청 무서웠음,Positiva
11726,발연기 탑의 캐스팅은 제작진의 실수였다!!,Negativa
11727,코믹연기랍시고 전반적으로 다들 오버스럽다. 특히 성동일.,Negativa
11728,리메이크작품으로 축구가 아닌 럭비소재로 스톤콜드 스티브 오스틴과 골드버그 때문에 찾아본 영화. 스토리는 영~,Negativa
11729,3개의 시간이 흐르는 모습과 그때마다 다른캐릭터의 공리의 모습에 감탄하게된다,Positiva
11730,"우리나라사람들처럼 동기화? 잘 되는 민족도 없을것 같다. 개봉초에는 수작이라고 극찬하고,평점 10점 도배하고, 안티하면 개까이고 ㅋㅋ... 지금은 오히려 디워 칭찬하면 개까이는 분위기..",Negativa
11731,재밌게봤심다 추천해요,Positiva
11732,타티의 시선으로 풀어낸 회색도시의 기이한 춤사위,Positiva
11733,"내용부족으로 중강 중간 이가 빠진 듯한 스토리 전개에 지루하고, 이야기 하고자하는 메세지를 표출 해 내지 못하고 있다.",Negativa
11734,"이건 뭐, 몸짱 남녀들 보면서 운동 자극 좀 받으라고 만든 영화인가?",Negativa
11735,나두,Positiva
11736,메이드 레아 세이두를 볼수 있다,Positiva
11737,영화같은 실화... 결말로 갈수록 훨씬 놀라운.,Positiva
11738,아씨~끝장나는데 완전 예술이다 ㅎㅎ,Positiva
11739,왕가위 사단의 한 축을 맡고 있는 양조위. 왕가위 감독만의 매력적인 OST와 허세있는 듯 하며 느낌있는 영상과 대사들. 개인적으로는 왕가위 감독 영화 중 이 작품이 가장 기억에 남는다,Positiva
11740,되도 않는 발연기 툭하면 소란피우기. 되도않는 마지막 반전. 질린다.,Negativa
11741,뻔한 스토리임을 알고 봤는데 재미있었음... 남주 여주 재밌고 사랑스러웠음..,Positiva
11742,평가하기도 아까움 감동도 없고 반전도 없고 재미도 없으며 스토리도 노답임 영화에 기승전결이 있다면 전이없음,Negativa
11743,몰입도 하나는 최곱니다. 강추,Positiva
11744,조카 아이들이랑 보기 딱이네요! 그림체도 신선~하고 잼있었어용~,Positiva
11745,평점보단 점수 높은듯 재밋게봣어요,Positiva
11746,연기자들 연기도 못하고 구성도 엉망이고 말도 안 하고 최악 중에 최악의 영화다. 이게 재밌다고 하는 골빈애는 누구냐?? 듣보잡쓰는 저예산 영화의 극치를 보여줌. 쓰레기,Negativa
11747,장난하냐? 주인공이 무적이냐?,Negativa
11748,대체 뭔 스토린지...,Negativa
11749,나름의 재미는 건지는듯 했는데.. 시걸엉님의 쌍코피에서 확깨드라.,Negativa
11750,재밌어서 추천 ㅋㅋ 결말까지 꼭 보시길,Positiva
11751,볼만. 좋은 스토리텔링. 기록영화 같아서 긴장감 부족,Negativa
11752,이거 도대체 뭔내용이었냐? 옛날에 영화관에서 보다 잠들었는데,Negativa
11753,배우들의 연기력이 최고다..,Positiva
11754,성인영화라 아무생각없이 봤는데 나름 스토리도 있고 매력있네~,Positiva
11755,이 영화가 감독의 데뷔작품이라!! 믿기지 않는다! 세개의 이야기가 모두 절묘했으면 하고자 하는 말이 정확했다. 제목처럼 정말 개같은 사랑이다!!브라보!,Positiva
11756,이영화는 도데체 뭐야?,Negativa
11757,14111141516,Negativa
11758,존나 재미 없는 영화..졸려 죽는줄 알았다..,Negativa
11759,코믹짱,Negativa
11760,웃음으로시작햇다눈물로끝나는영화..꿈있는자에게 완전강추!보고영화비아깝지않아!!,Positiva
11761,내가 공포영화 어지간하면 점수 주는데 이건 진짜 못보겠다.,Negativa
11762,유치짬뽕억지.이화선의 알몸 노출이 아깝다.,Negativa
11763,제발..소녀시대님 부탁합니다 되도않되는 연기하지마세요 제발ㅠㅠ 여기나오는애는 윤아처럼 이쁘지도않고 태연처럼 노래잘하는것도 아닌 무존재라 연기로라도. 해볼라하는거같은데 ㅠㅠ 재뿌리기..제발 대한민국 영화계를 망치지마요,Negativa
11764,용기있는 감독...,Positiva
11765,최고,Positiva
11766,아추억이생각난다 그리운어린시절이떠오르는군요~,Positiva
11767,"스토리도, 구성도, 배우들 연기도, 배경도, 음악도. 참 맘에들었던 드라마..^^",Positiva
11768,예상대로. 흘러가는 극 전개일뿐,Negativa
11769,이 영화를 보고 걸렸던 암이 나았습니다,Negativa
11770,조위형님 왜 그러셧어요? 제대로 난장까는 영화,Negativa
11771,시걸영화는 늘 볼만한데..단지 개구라액션이랍시고 늘 저평가,Positiva
11772,존잼...추억이다,Positiva
11773,에잉 쯧쯧 크리에이터로써 부끄러운줄 압시다,Negativa
11774,10년이 지났어도 흡잡을 곳 없는 영상과 짜임새 있는 각본 최고,Positiva
11775,현대사회,Positiva
11776,이게 50년 전 영화일리가 없어!,Positiva
11777,오랜만에 다시보아도 여전하네요. 감성적일때보면 더와닿는다는..,Positiva
11778,알바하지마라 형짜증날라한다 이거 보면진짜아니다 알바새끼들아,Negativa
11779,보지는 않지만 열렬한 팬들에 제 마음이 녹아버렸어요~찬란한 연기 기대하겠습니다^^,Positiva
11780,뭔 내용인 지를 모르겠음ㅋㅋㅋㅋ 도대체 뭘 말하고 싶은지,Negativa
11781,장말 막장으로 가네 보면답답하네 시창자를 우롱하는거같다,Negativa
11782,10점 만점을줘도 모자르뮤ㅠㅠㅠㅠㅠㅠ,Positiva
11783,명작중의 명작 말이 필요없습니다. very good,Positiva
11784,이지훈안나오는대,Negativa
11785,지난 13년간 나의 삶은 그냥 그렇게 지나갔다. 나의 모든 것이라 여겨졌던 것이 정말로 생각지도 못하게 갑자기 떠나버리기도 하는 것이다. 나는 내 삶의 의미를 이제라도 찾아야 한다. 다른 사람이 아닌 오직 나를 위한 새로운 의미를.,Positiva
11786,"공연을 좋아한다면, 음악을 좋아한다면, 무대를 좋아한다면 이 정도는 봐야합니다!!!!!",Positiva
11787,김응룡감독이 나왔대서 봤는데 쓰렠ㅋㅋ,Negativa
11788,아아... 영화 시간 내내 졸았어요.. 책 보고 감동 먹은 사람만 가서 보세요~,Negativa
11789,최고의 드라마! 나가세 토모야 연기 굿 각키 유야 연기도 굿,Positiva
11790,1편은 재밌었는데.. 2편 왜이래요,Negativa
11791,제가 sfx에서 보았 는데 별로 더군요......,Negativa
11792,이 영화는 도대체 어디서 찾을 수가 없어...이거 어디가면 볼 수 있나요?,Positiva
11793,영화 제목 상태로 비상사태이네,Negativa
11794,30년간 본 영화중 손에 꼽힐 쓰레기 영화,Negativa
11795,너무나도 공감되는 영화 아... 언니 생각 난당,Positiva
11796,감독님 지나친 파격은 비겁함입니다~!,Negativa
11797,완전 재밋고 빈디젤 멋있음,Positiva
11798,꿀잼ㅎㅎㅎ 너무재미있다,Positiva
11799,역시 장혁은 장혁이다. 스릴넘치는 영화오랜만에 좋았다,Positiva
11800,존1나 재미없네 ㅋㅋㅋ,Negativa
11801,"B급이하인 영화, 그래두 끝까지 본게 신기할따름..",Negativa
11802,tv 전기세가 아깝다!!!,Negativa
11803,순도 99% 에로티시즘 영화의 귀환,Positiva
11804,장동직 표절 광시곡 주연 잘생긴 거렁뱅이,Negativa
11805,보긴보고 평점하는건가..? 영화괜찮았구만 난리들이네 -_-,Positiva
11806,오묘한 분위기가 흡입력 있다.,Positiva
11807,즐겁게 보았습니다.,Positiva
11808,이룰 수 없는 꿈을 꾸는 철없는 사람들,Negativa
11809,"이영화 당시 극장에서 봤음. 아직도 기억나는게 나포함 극장안에 총관객이 5명이었음. 그런데 영화 끝날때 되어서 앞에 앉아 있던 아가씨가 콜라캔 집어 던지면서 하는말 """"""""x x 18 이게 영화냐.."""""""".속이 후련했음. 진짜 돈아까웠던 영화..""""",Negativa
11810,교과서에도 나온 명작이죠. 신선한 기법을 사용해 보는 내내 몰입하게 되었습니다.,Positiva
11811,어떻게 다운받아서 보냐요?,Negativa
11812,아 오늘마지막회 ㅜㅜ 닥본사~,Positiva
11813,작지은 영화지만 무엇보다 큰 파워를 느낄수 있는 작품!!,Positiva
11814,..................지루 그자체,Negativa
11815,진짜흥미진지한스토리 시즌1부터폐인됬음ㅋ 오늘한진우신드롬......무엇일까기대댄다.,Positiva
11816,밑에님처럼 그런데다가 많은 줄거리,Negativa
11817,Aweful !!,Negativa
11818,어느순간 버벌진트가 죽이고싶어지는 영화,Positiva
11819,행복한 영화...플롯이엉성한게더매력,Positiva
11820,영화에 취했네요. 사람냄새나는 영화.,Positiva
11821,"야동 패러딘줄 알았네,.. 중간중간에 왠지 모르게 뜬금없이 옷벗고 한판해야 할 것 같은 분위기",Negativa
11822,감독이 약간 변태인듯...,Positiva
11823,억지.,Negativa
11824,포스터 저여자 이정재 얼굴합성한거같이 생겼네,Negativa
11825,인물들 개연성도 허접하고 개구리모습에 남자와 그 깔따구는 무슨 비중있는것처럼 부각시켜놓고 결국 아무것도 아닌 ㅋ,Negativa
11826,"정말 재미없음. 결론도 없고, 뭐 2편을 내려고 그랬나..ㅋㅋ",Negativa
